Team,M,W,L,T,N/R,BP,PT,NRR,Runs For,Overs For,Runs Against,Overs Against
Middlesex Women,3,3,0,0,0,1,13,0.82,322,55.1,301,60.0
Glamorgan Women,2,1,1,0,0,0,4,0.053,210,40.0,207,39.5
Sussex Sharks Women,3,1,2,0,0,0,4,-0.152,378,60.0,357,55.2
Kent Women,1,0,1,0,0,0,0,-0.9,122,20.0,140,20.0
Gloucestershire Women,1,0,1,0,0,0,0,-1.35,121,20.0,148,20.0
